No,Comment ID,Author,Original Comment,Cleaned Comment,Lexicon Sentiment,Lexicon Score,LLM Sentiment,LLM Model,Language,Ground Truth
1,UgxY9G1O5N9bzrAAjMB4AaABAg,@301mediagraphy5,"Editor nya kerja keras, cepat-cepat bener ibot ngobrol nya 😅😅😅",editor nya kerja keras cepat cepat benar ibot ngobrol nya,negatif,-7.0,netral,qwen/qwen-2.5-72b-instruct,id,
2,UgzHiDmdKdR2Hu9jRXd4AaABAg,@guzrach566,"Jirrr lucu banget, ketawanya mereka nular",jirrr lucu banget ketawa nular,positif,3.0,netral,qwen/qwen-2.5-72b-instruct,id,
3,UgyZs7gIj21xmWMNxdl4AaABAg,@THEBARBAR12,"Idealnya 24~ 25 °c Rh 55~60 % ,",ideal c rh,positif,3.0,netral,qwen/qwen-2.5-72b-instruct,id,
4,UgxNeATnln2n2fj5Hdx4AaABAg,@ula8100,p,p,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
5,Ugw57fGI1BB6f4J9Qf94AaABAg,@HermanWorld1998,Di sini gue paham kenapa ibot nyambung sama aldi taher,sini paham ibot nyambung sama aldi taher,positif,3.0,netral,qwen/qwen-2.5-72b-instruct,id,
6,UgznTDmYIlq8ffshK2p4AaABAg,@d14u,"0:48 iyaa lagii, related bgt sama bg Radit, gabisa kedinginan gabisa jg kepanasaan.. aku yg pake kipas aja klo malam suka kedinginan tpi klo pake selimut malah kepanasan alhasil pake dri perut ke tumit doang",iyaa lagi related banget sama bg radit gabisa dingin gabisa kepanasaan aku pake kipas klo malam suka dingin tpi klo pake selimut malah panas alhasil pake dri perut tumit doang,negatif,-7.0,netral,qwen/qwen-2.5-72b-instruct,id,
7,Ugxbl0nZOUXh37Z3rb94AaABAg,@sahraauliahumairani6540,Niat nya nnton buat nemenin tdr malah ngakak anjjj seru bgtb😅,niat nya nnton buat nemenin tdr malah tawa anjjj seru bgtb,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
8,Ugw0eLyN8ICxa0BHP7d4AaABAg,@aulyoutuber,keren ibot selalu pake saya lhooo. sukses yaaa bot smogaa jodoh trs sama ka anin,bagus ibot selalu pake lhooo sukses yaaa bot smogaa jodoh trs sama ka anin,negatif,-3.0,netral,qwen/qwen-2.5-72b-instruct,id,
9,Ugy5LJVmHn588gZ3Mqh4AaABAg,@kamal_remilion,Percakapan di pengkolan samping pasar inimah,cakap pengkol samping pasar inimah,negatif,-8.0,netral,qwen/qwen-2.5-72b-instruct,id,
10,UgxsEZ2GQ9QmKYRNxTV4AaABAg,@tiajuriasih6442,satuin dia sm aldi taher di podcast bang radit makin seru deh keknyaaa,satuin sama aldi taher podcast bang radit makin seru keknyaaa,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
11,UgxWZNzo2Pb6oNcYGY14AaABAg,@raranana1751,the real asbun 😂,the real asbun,positif,2.0,netral,qwen/qwen-2.5-72b-instruct,id,
12,UgyC6H_iZsuqsTlHBhx4AaABAg,@cinintyaanjani7966,ADUHHHH INI LUCU BANGET 😂,aduhhhh lucu banget,negatif,-1.0,netral,qwen/qwen-2.5-72b-instruct,id,
13,UgwsnddgDSMkyKaj5WR4AaABAg,@cinintyaanjani7966,13:00 😂😂😂 lucu bgt anj,lucu banget anj,negatif,-1.0,netral,qwen/qwen-2.5-72b-instruct,id,
14,UgxXU0z15bJb5i3RJ-Z4AaABAg,@KurniAwan-qh9zd,👍,,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
15,Ugw8uB5m-qVuxlMwnS14AaABAg,@noersabani9305,Ibot mirip² aldi taher dah😂,ibot mirip aldi taher dah,negatif,-5.0,netral,qwen/qwen-2.5-72b-instruct,id,
16,UgzMFihsH21d9CGv4v94AaABAg,@Bagus_ksp01,Udh kyk nongkrong Ama cees jir ngobrol Ama gondrong😭😭,udh kyk nongkrong ama cees jir ngobrol ama gondrong,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
17,UgzAu01Wo5op_0-YmAx4AaABAg,@xowoxo,"bang radit ,ini baru the real pembicaran tongkrongan ,topik..berubah"" kapanpun 😂😂😂",bang radit baru the real pembicaran tongkrong topik ubah kapan,positif,3.0,netral,qwen/qwen-2.5-72b-instruct,id,
18,Ugy9ML-i8StX74Z-ZeV4AaABAg,@UbayKecil-n1n,Ibot the real ekstrovert 🤣,ibot the real ekstrovert,positif,2.0,netral,qwen/qwen-2.5-72b-instruct,id,
19,Ugy3YFlb21Sm7_w0hup4AaABAg,@binatangtua,EBOT EBOT EBOTTT,ebot ebot ebottt,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
20,UgzlmKqWMKm6APi6ZN54AaABAg,@eliswidya2282,"🤣🤣dsni emg cerita ibot lngsung nyangkut di otak gue'cmn sama bang radit radak"" susah masuk sama orng yg perumahan🤣🤣🤣",dsni emg cerita ibot lngsung nyangkut otak cmn sama bang radit radak susah masuk sama orng rumah,negatif,-5.0,netral,qwen/qwen-2.5-72b-instruct,id,
21,UgxAe814DLwKSain6eR4AaABAg,@THIS20faoktavvv,HAHAHA GAKUAT CERITA CERITANYA😭😭😭😭😭,hahaha gakuat cerita cerita,negatif,-11.0,netral,qwen/qwen-2.5-72b-instruct,id,
22,Ugybnvx0cRb0s4hPePh4AaABAg,@IHCKapalapiSMG,"asli si ibot kek si aldi taher..lagi ngobrol kemana, arahnya kemana...kadang nggk jelas arah ceritanya tapi lucu...wkwkwk",asli si ibot kek si aldi taher ngobrol arah kadang nggk jelas arah cerita lucu wkwkwk,negatif,-8.0,netral,qwen/qwen-2.5-72b-instruct,id,
23,UgwNOkVAN4L1V-KVxht4AaABAg,@Gondrong_Labrangan,Nasi Padang bot,nasi padang bot,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
24,Ugzo0fSZsxVHq7iBOmt4AaABAg,@adnankekeke6552,Trump: make america great again odading mang oleh,trump make america great again odading mang,positif,3.0,netral,qwen/qwen-2.5-72b-instruct,id,
25,Ugwc5p9uBwz4rCBbcvN4AaABAg,@al-hikmah07,Saran tambah nama bang bot   Fachrudin Ariyanto cocok,saran tambah nama bang bot fachrudin ariyanto cocok,negatif,-5.0,netral,qwen/qwen-2.5-72b-instruct,id,
26,Ugwqr8OYCjuHNzWBTuh4AaABAg,@dibendychannel4949,coba ketemukan dengan aldi taher ibot,coba ketemu aldi taher ibot,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
27,UgxIsYBzk8RmU2z4ajZ4AaABAg,@bundaersya5795,Suka banget nonton nya. Radit juga cerdas banget nanya nya,suka banget nonton nya radit cerdas banget nanya nya,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
28,UgzmOAaLwA9VwVzWl6N4AaABAg,@thisischaniago5693,37:17 pertanyaan yg muncul dari orang yg ngobrolin masalah cintanya di pelican town 😂,tanya muncul orang ngobrolin masalah cinta pelican town,negatif,-10.0,netral,qwen/qwen-2.5-72b-instruct,id,
29,UgzopetdpKDMf01jWBR4AaABAg,@FalVael124,Otw ini channel gaming bang Radit maenin DOTA2 😅,otw channel gaming bang radit maenin dota,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
30,Ugy4bpPAUxq_ywbgwM14AaABAg,@UlfahKhairunnisa-u1y,bang radit lemot maxxx 😂😂,bang radit lot maxxx,negatif,-5.0,netral,qwen/qwen-2.5-72b-instruct,id,
31,Ugw_VTp8oVA6j3EkRPp4AaABAg,@yadizafarhanizar469,mabuy bot,mabuy bot,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
32,UgyS_meUzio_UUc6hF94AaABAg,@GovinDa-q3v,Rambut bang radit kok perasaan pendek mulu gk kek dulu biar gk dikira ibot ketuaan,rambut bang radit asa pendek mulu tidak kek dulu biar tidak kira ibot ketua,negatif,-16.0,netral,qwen/qwen-2.5-72b-instruct,id,
33,UgwNlmfZNk1XDXTfZNR4AaABAg,@sureitsolle,goksss ibottt,goksss ibottt,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
