No,Comment ID,Author,Original Comment,Cleaned Comment,Lexicon Sentiment,Lexicon Score,LLM Sentiment,Ground Truth,LLM Model
1,Ugx4z8lSIP3Sb109tVt4AaABAg,@faqihkhoerurrizalmansur1803,"MMORPG bukannya sudah mati ya? apa cuma di Indonesia saja? kalau single player kayaknya lebih seru, jadi kayak crimson desert",mmorpg bukan mati apa cuma indonesia kalau single player kayak lebih seru jadi kayak crimson desert,negatif,-24.0,netral,netral,meta/llama-3.1-8b-instruct
2,UgyRuuX7C_AtW49-RL94AaABAg,@charlessxavier7830,"Bagi Warframe player, ini cuma dianggap sebagai ""Duviri"", tapi versi ""cerita mandiri"" tanpa Warframe 😄😄😄",warframe player cuma anggap duviri versi cerita mandiri warframe,negatif,-10.0,positif,positif,meta/llama-3.1-8b-instruct
3,UgxwBOUWas7CiQUJ5Nt4AaABAg,@hask14,apakah veteran new world bakal migrasi kesinii??,veteran new world bakal migrasi kesini,netral,0.0,netral,,meta/llama-3.1-8b-instruct
4,Ugwlelu3gslyzYuI_Td4AaABAg,@sleepyash1280,Nunggu warframe lama sekarang nunggu soulframe lama lagi juga,nunggu warframe lama sekarang nunggu soulframe lama juga,negatif,-6.0,positif,,meta/llama-3.1-8b-instruct
5,UgwLTRBNsFN_wAoJrvh4AaABAg,@ioktaaar6787,"f2p gini malah malesnya kalo ada microtransaction in game. Tapi ya gatau tunggu aja sampe rilis, lebih enak yang memang bayar sekali beli tapi udah dapet semua fiturnya",fp gin malah malesnya kalau microtransaction in game ya tahu tunggu sampe rilis lebih enak memang bayar sekali beli sudah semua fiturnya,negatif,-15.0,negatif,,meta/llama-3.1-8b-instruct
6,UgxrGlF9wJTzPkDupc54AaABAg,@wetmote8221,"resign ndasmu

steve dipromosi jadi ceo digital extremes, ngegantiin james schmalz yang pensi",resign ndasmu steve promosi jadi ceo digital extremes ngegantiin james schmalz pensi,negatif,-2.0,netral,,meta/llama-3.1-8b-instruct
7,UgwnpVniz22TDgIIK7t4AaABAg,@SoundScapeRiver,Gabungan darksoul dan warframe nih rasanya,gabung darksoul warframe rasa,negatif,-7.0,positif,,meta/llama-3.1-8b-instruct
8,Ugz2p71imbM1Lw9uymJ4AaABAg,@RazorGammer,"Kapan rilisss,, dan apakah benar gratis",kapan rilisss apakah benar gratis,netral,0.0,netral,,meta/llama-3.1-8b-instruct
9,UgyfH2gySFvGOw4n7ll4AaABAg,@jemssony8737,woww,woww,netral,0.0,positif,,meta/llama-3.1-8b-instruct
10,UgxOS1fAQVUm5WvHV-t4AaABAg,@farras3332,Warframe aja gua udh bingung mau ngapain yg konten nya bejibun...,warframe gua udh bingung mau ngapain konten nya bejibun,negatif,-4.0,negatif,,meta/llama-3.1-8b-instruct
11,UgzOJFq0B5WaZEyVOAx4AaABAg,@Nyzamon,ini sizenya berapa ?,sizenya berapa,netral,0.0,netral,,meta/llama-3.1-8b-instruct
12,UgxPxw2gjr2oFwpc9xB4AaABAg,@alfisyahbintang5294,"Mungkin untuk beberapa orang puzzle nya terlalu susah, tapi ini juga bisa jadi buat daya tarik tersendiri sihhh. Kyk dulu orang bilang dark soul itu gamenya terlalu susah jadi dikasih rating jelek, ternyata malah itu yang jadi daya tariknya soul series.

Dari dulu puzzle di game rpg tuh gampang bgt sampe gak kyk puzzle. Mungkin inj bisa jadi obatnya buat orang2 yang udh capek sama puzzle yang gampang ini.

Just in my opinion",mungkin beberapa orang puzzle nya terlalu susah jadi buat daya tarik sendiri sihhh kyk dulu orang bilang dark soul gamenya terlalu susah jadi kasih rating jelek nyata malah jadi daya tarik soul series dulu puzzle game rpg gampang banget sampe kyk puzzle mungkin inj bisa jadi obat buat orang udh capek sama puzzle yang gampang ini just in my opinion,negatif,-39.0,positif,,meta/llama-3.1-8b-instruct
13,Ugx8IjHhD-cHgQfRoBd4AaABAg,@MyungHunjien,semoga saja ram 2 bisa maen ini game 🙏🏻😌,moga ram maen game,positif,6.0,positif,,meta/llama-3.1-8b-instruct
14,UgySJmXSn4WoF0ZvB4l4AaABAg,@heizoe6978,Saingan skyrim..tp online,saing skyrim online,netral,0.0,netral,,meta/llama-3.1-8b-instruct
15,UgwlL1XXjbFXxemhQcN4AaABAg,@tes-po7yv,Warframe ini p2w ga sih??,warframe pw,netral,0.0,netral,,meta/llama-3.1-8b-instruct
16,Ugy01tOSIcUklk4oGUh4AaABAg,@beng2046,Huh free?,huh free,positif,3.0,netral,,meta/llama-3.1-8b-instruct
17,UgxNs9YEmd41aHNOOWd4AaABAg,@Schyon14,Ayo dong bikin Discord Soulframe atau Group FB soulframe Khusus Indonesia.,ayo buat discord soulframe group fb soulframe khusus indonesia,positif,5.0,positif,,meta/llama-3.1-8b-instruct
18,UgyxZsh8ouoq_Q5csWZ4AaABAg,@heyoo0128,"Soulframe ada agenda woke nya ngga ya
Soalnya kalau di warframe ada jir lah",soulframe agenda woke nya ngga soal kalau warframe jir,negatif,-7.0,negatif,,meta/llama-3.1-8b-instruct
19,UgxQ4YLRcnqNkJ12Vel4AaABAg,@alexanderhamingja,Halo gebi,halo gebi,positif,1.0,netral,,meta/llama-3.1-8b-instruct
20,UgyeL7cjxnVK9b_DVql4AaABAg,@Abertier,masih terlalu kosong daripada kakaknya warframe,terlalu kosong kakak warframe,negatif,-7.0,negatif,,meta/llama-3.1-8b-instruct
21,UgwLTRBNsFN_wAoJrvh4AaABAg.AXxVB8b7ATHAXy8SuC_tGj,@strawberryscutiie,Udah pernah main game dari digital extreme belum bang? Kalo belum bisa cobain warframe pure f2p micro transaction untuk cosmetics aja,pernah main game digital extreme bang kalau bisa cobain warframe pure fp micro transaction cosmetics,negatif,-1.0,netral,,meta/llama-3.1-8b-instruct
